time,open,high,low,close,volume
2026-06-04 08:10:00,4465.705,4465.929,4459.588,4460.722,803
2026-06-04 08:15:00,4460.669,4465.516,4460.249,4464.233,972
2026-06-04 08:20:00,4464.191,4464.191,4458.682,4460.005,1089
2026-06-04 08:25:00,4459.668,4463.422,4458.588,4463.192,1018
2026-06-04 08:30:00,4463.306,4469.355,4459.911,4464.56,1019
2026-06-04 08:35:00,4464.784,4464.875,4459.978,4460.888,912
2026-06-04 08:40:00,4460.943,4463.499,4460.538,4463.45,678
2026-06-04 08:45:00,4463.244,4464.133,4459.519,4460.129,922
2026-06-04 08:50:00,4460.122,4464.064,4460.063,4463.355,744
2026-06-04 08:55:00,4463.284,4466.111,4462.615,4463.374,550
2026-06-04 09:00:00,4463.376,4468.504,4461.085,4466.904,641
2026-06-04 09:05:00,4466.925,4469.433,4464.926,4468.267,810
2026-06-04 09:10:00,4468.329,4468.87,4461.977,4463.657,891
2026-06-04 09:15:00,4463.307,4466.394,4463.094,4465.926,863
2026-06-04 09:20:00,4465.962,4467.434,4463.484,4466.199,734
2026-06-04 09:25:00,4466.146,4466.79,4464.218,4464.806,770
2026-06-04 09:30:00,4464.78,4467.802,4461.579,4466.818,1135
2026-06-04 09:35:00,4466.54,4469.353,4464.603,4467.323,1183
2026-06-04 09:40:00,4467.247,4468.73,4466.177,4467.787,695
2026-06-04 09:45:00,4467.855,4472.315,4467.388,4470.784,910
2026-06-04 09:50:00,4470.867,4475.577,4470.023,4474.734,814
2026-06-04 09:55:00,4474.793,4475.163,4469.639,4470.524,667
2026-06-04 10:00:00,4470.457,4472.16,4468.231,4469.947,753
2026-06-04 10:05:00,4469.962,4471.278,4469.022,4469.546,639
2026-06-04 10:10:00,4469.594,4472.155,4467.697,4471.246,849
2026-06-04 10:15:00,4471.385,4471.558,4468.504,4468.946,678
2026-06-04 10:20:00,4468.737,4469.129,4464.722,4466.788,786
2026-06-04 10:25:00,4466.926,4468.187,4464.128,4467.621,668
2026-06-04 10:30:00,4467.682,4469.549,4466.444,4467.741,695
2026-06-04 10:35:00,4467.672,4471.197,4467.59,4469.189,765
2026-06-04 10:40:00,4469.129,4472.601,4468.443,4471.139,620
2026-06-04 10:45:00,4471.392,4472.912,4470.558,4471.143,684
